Subscribe
![rss feed icon](https://www.agriculture.gov.au/sites/default/files/images/rss-symbol.png) Import Industry Advice Notices RSS Feed
| Import industry advice notices 2021 |  |  | 
| 1 September 2021 | 187-2021 | Commencement of the 2021-22 Brown marmorated stinkbug (BMSB) risk season - 1 September | 
| 30 August 2021 | 186-2021 | Scheduled Outage: Friday 03 September to Saturday 04 September 2021 - COLS, MARS, OPS and PEBS unavailable, BMSB/Treatment Certificate Portal impacted | 
| 27 August 2021 | 185-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: reinstatement of Italian treatment provider - Centro Disinfestazione Livornese Srl (CDL) (AEI: IT4004SB) | 
| 27 August 2021 | 184-2021 | 'Have Your Say' on first point of entry biosecurity awareness packages | 
| 27 August 2021 | 183-2021 | Postcode reclassification - Burnside QLD 4560 | 
| 26 August 2021 | 182-2021 | COVID-19 impact on Cat and Dog imports to Australia | 
| 24 August 2021 | 181-2021 | Khapra beetle information sessions: Phase 3 high-risk plant products | 
| 24 August 2021 | 180-2021 | Khapra beetle measures Phase 3: Controlled atmosphere treatment methodology | 
| 23 August 2021 | 179-2021 | Service Disruption: Sunday 29 August 2021 - BICON | 
| 23 August 2021 | 178-2021 | Australian Border Force (ABF) and Maritime Officer user access to the Maritime Arrivals Reporting System (MARS) | 
| 23 August 2021 | 177-2021 | Khapra beetle Phase 3 measures: New requirements for high-risk plant products imported via all commercial pathways | 
| 16 August 2021 | 176-2021 | Service Disruption: Friday 20 August to Saturday 21 August 2021 - BICON | 
| 16 August 2021 | 175-2021 | Scheduled Outage: Thursday 19 August to Friday 20 August 2021 – COLS, MARS, OPS, PEBS | 
| 16 August 2021 | 174-2021 | Register to attend the Brown marmorated stink bug (BMSB) 2021-22 season Industry information sessions | 
| 13 August 2021 | 173-2021 | Final changes to the lists of approved countries to export live marine and freshwater ornamental finfish to Australia | 
| 12 August 2021 | 172-2021 | Importing elderly cats and dogs with pre-existing or chronic medical conditions | 
| 11 August 2021 | 171-2021 | Update regarding sclerotia contamination for imported Lolium spp. or Festuca spp. seed consignments | 
| 9 August 2021 | 170-2021 | Health Officer user access to the Maritime Arrivals Reporting System (MARS) | 
| 9 August 2021 | 169-2021 | Port Authority user access to the Maritime Arrivals Reporting System (MARS) | 
| 9 August 2021 | 168-2021 | Service Disruption: Tuesday 10 August 2021– AIMS, COLS | 
| 9 August 2021 | 167-2021 | Scheduled Outage: Thursday 12 August to Friday 13 August 2021 – BICON impacted, COLS, OPS and PEBS unavailable | 
| 6 August 2021 | 166-2021 | Crew declarations at first points of entry | 
| 5 August 2021 | 165-2021 | BMSB and Khapra beetle biosecurity treatment information sessions | 
| 2 August 2021 | 164-2021 | Expansion of the Compliance Based Intervention Scheme (CBIS) | 
| 2 August 2021 | 163-2021 | Khapra beetle measures: updated exclusions list and provisional alternative treatment options for high-risk plant products | 
| 29 July 2021 | 162-2021 | Reminder - Revised Minimum documentary and import declaration requirements policy | 
| 28 July 2021 | 161-2021 | Changes to import conditions for finfish and baitfish have been implemented | 
| 23 July 2021 | 160-2021 | 2021-22 Brown marmorated stink bug (BMSB) seasonal measures | 
| 21 July 2021 | 159-2021 | COVID-19: Consolidation of information on department activity in affected states | 
| 19 July 2021 | 158-2021 | Changes to movement and discrepancy reporting of uncooked imported pig meat | 
| 19 July 2021 | 157-2021 | Notify of COVID-19 cases | 
| 19 July 2021 | 156-2021 | COVID-19: Impact on department activity in NSW | 
| 19 July 2021 | 155-2021 | Service Disruption: Sunday 25 July 2021 - BICON | 
| 16 July 2021 | 154-2021 | Changes to aircraft disinsection for aircraft arriving in Australia and New Zealand | 
| 16 July 2021 | 153-2021 | Khapra beetle measures: webpage updates and new requirements for high-risk plant products | 
| 13 July 2021 | 152-2021 | Documentary requirements for fumigation certificates for imported goods | 
| 12 July 2021 | 151-2021 | Sea container measures to protect against khapra beetle | 
| 9 July 2021 | 150-2021 | AEPCOMM approved commodities update due to changes in ABF tariff classifications | 
| 6 July 2021 | 149-2021 | Requirement to notify of COVID-19 cases | 
| 5 July 2021 | 148-2021 | Scheduled Outage: Saturday 10 July to Sunday 11 July 2021 – COLS, MARS, OPS, PEBS, BMSB/Treatment Certificate Portal | 
| 5 July 2021 | 147-2021 | Service Disruption: Thursday 08 July 2021– DAWE messaging | 
| 5 July 2021 | 146-2021 | Scheduled Outage: Tuesday 06 July to Wednesday 07 July 2021 –COLS, OPS, PEBS | 
| 5 July 2021 | 145-2021 | Sea container measures to protect against khapra beetle | 
| 2 July 2021 | 144-2021 | Biosecurity Operations Division Reset | 
| 1 July 2021 | 143-2021 | Maritime National Coordination Centre – Change of Name and New E-mail Contact Details | 
| 30 June 2021 | 142-2021 | Biosecurity Treatment Industry Roundtables | 
| 30 June 2021 | 141-2021 | Changes to import conditions for fish and baitfish | 
| 28 June 2021 | 140-2021 | Scheduled Outage: Wednesday 30 June to Thursday 01 July 2021 – BICON, COLS, MARS, OPS and PEBS | 
| 28 June 2021 | 139-2021 | Service Disruption: Tuesday 29 June 2021– DAWE messaging | 
| 28 June 2021 | 138-2021 | Cat and Dog imports to Australia – Post Entry Quarantine Christmas shutdown dates and animal releases during Victorian COVID lockdown | 
| 24 June 2021 | 137-2021 | COVID-19 Impact on Biosecurity Operations in NSW | 
| 23 June 2021 | 136-2021 | Re-finalisation of AIMS FID entries post broker initiated amendments | 
| 23 June 2021 | 135-2021 | New biosecurity first point of entry determinations commenced 16 June 2021 | 
| 23 June 2021 | 134-2021 | Temporary changes to import certificate requirements for fresh produce, cut flowers, plants and other imported plant-based commodities extended to 30 June 2022 | 
| 23 June 2021 | 133-2021 | Temporary changes to import certificate requirements for imported animals, biological and animal-based goods extended to 30 June 2022 | 
| 23 June 2021 | 132-2021 | Commencement of revised import conditions for tomato seed for sowing | 
| 22 June 2021 | 131-2021 | Services Restored: Tuesday 22 June 2021 – BICON | 
| 22 June 2021 | 130-2021 | Unplanned Service Disruption: Tuesday 22 June 2021 – BICON | 
| 22 June 2021 | 129-2021 | Service Disruption | 
| 22 June 2021 | 128-2021 | 2021-22 Offshore Brown Marmorated Stink Bug (BMSB) treatment providers scheme and application form | 
| 21 June 2021 | 127-2021 | Service Disruption: Sunday 27 June 2021 - BICON | 
| 21 June 2021 | 126-2021 | Scheduled Outage: Thursday 24 June to Friday 25 June 2021 – COLS, MARS, OPP, PEBS, BMSB/Treatment Certificate Portal | 
| 18 June 2021 | 125-2021 | Applications to change the end use of imported biological goods (repurposing) | 
| 18 June 2021 | 124-2021 | Amendment of Regulated Blueberry Rust Species for Blueberries and Cranberries Imported from New Zealand | 
| 17 June 2021 | 123-2021 | Table Grapes from India, Korea, and Mexico – Secure consignment options - mesh size for Drosophila suzukii | 
| 17 June 2021 | 122-2021 | Upcoming changes regarding Sclerotia contamination for imported Lolium spp. or Festuca spp. seed consignments | 
| 15 June 2021 | 121-2021 | Service Disruption: Saturday 19 June 2021 – BICON | 
| 11 June 2021 | 120-2021 | Additional Measures on Fresh Kiwifruit from Italy and France | 
| 9 June 2021 | 119-2021 | Unplanned Outage: Wednesday 9 June 2021 – SeaPest | 
| 7 June 2021 | 118-2021 | Updates to class 19.1 and 19.2 approved arrangements incorporating khapra beetle Phase 6A measures | 
| 4 June 2021 | 117-2021 | Service Disruption: Friday 04 June 2021– IMS, SAC, AIMS and ICS | 
| 3 June 2021 | 116-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: Withdrawal of treatment providers - Nozzle Nolen, Inc (AEI: US4087SB) and Gregory Pest Solutions (AEI: US4082SB) | 
| 3 June 2021 | 115-2021 | Service Disruption: From 23:30 Saturday 05 June to 03:00 Sunday 06 June 2021 (AEST) – BICON | 
| 7 June 2021 | 114-2021 | Trial of a new test to verify that propagatable species of imported fresh cut flowers and foliage have been devitalised prior to export | 
| 3 June 2021 | 113-2021 | Revised Minimum documentary and import declaration requirements policy | 
| 1 June 2021 | 112-2021 | Service Disruption: 23:30 Saturday 05 June to 01:30 Sunday 06 June 2021 (AEST) – AIMS, COLS | 
| 1 June 2021 | 111-2021 | COLS, MARS, OPS and PEBS unavailable, BMSB/Treatment Certificate Portal impacted from 23:30 Friday 04 June to 01:30 Saturday 05 June 2021 (AEST) | 
| 1 June 2021 | 110-2021 | Biosecurity Treatment Industry Round Tables | 
| 1 June 2021 | 109-2021 | Commencement of revised emergency measures for the bacterial pathogen Xylella in imported nursery stock hosts | 
| 1 June 2021 | 108-2021 | Service Disruption for QLD Inspection bookings | 
| 28 May 2021 | 107-2021 | Notification of revised import conditions for tomato seed for sowing commencing 23 June 2021 | 
| 28 May 2021 | 106-2021 | Conclusion of the 2020-21 Brown marmorated stink bug (BMSB) Risk Season | 
| 27 May 2021 | 105-2021 | Service Disruption: From 23:30 Thursday 27 May to 00:30 Friday 28 May 2021 (AEST) – DAWE messaging | 
| 26 May 2021 | 104-2021 | Requirement to notify of COVID-19 cases | 
| 25 May 2021 | 103-2021 | Webinar registration for Continued Biosecurity Competency Activity: Integration of 6A khapra beetle urgent actions into the Class 19.1 NCCC approved arrangement. | 
| 24 May 2021 | 102-2021 | COLS unavailable from 23:00 Friday 28 May to 00:00 Saturday 29 May 2021 (AEST) | 
| 24 May 2021 | 101-2021 | Service Disruption: From 23:30 Monday 24 May to 03:30 Tuesday 25 May 2021 (AEST) – DAWE messaging | 
| 21 May 2021 | 100-2021 | Changes to the directions applied for Cargo Compliance Verification (CCV) inspection | 
| 20 May 2021 | 99-2021 | Service Disruption: From 23:30 Thursday 20 May to 03:30 Friday 21 May 2021 (AEST) – DAWE messaging | 
| 19 May 2021 | 98-2021 | Port of Dampier is now a first point of entry for freight containers | 
| 18 May 2021 | 97-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspension – Barcan Ilaclama Fumigasyon LTD.STI. (AEI: TR4024SB) | 
| 14 May 2021 | 96-2021 | Service Disruption: From 16:00 to 23:59 Sunday 23 May 2021 (AEST) - BICON | 
| 14 May 2021 | 95-2021 | Revised schedule and update on implementation of the urgent actions for khapra beetle (Trogoderma granarium) | 
| 14 May 2021 | 94-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: Withdrawal of treatment provider - American Fumigation Corporation (AEI: US4036SB) | 
| 13 May 2021 | 93-2021 | Import Document Assessment Delays | 
| 13 May 2021 | 92-2021 | Expression of interest: Proof of concept trial of new arrangements for imported cargo | 
| 11 May 2021 | 91-2021 | Request for Inspection email address change | 
| 10 May 2021 | 90-2021 | BICON impacted, COLS, OPS and PEBS unavailable from 23:00 Thursday 13 May to 02:30 Friday 14 May 2021 (AEST) | 
| 10 May 2021 | 89-2021 | Unplanned Service Disruption: Monday 10 May 2021 – Inbound emails | 
| 10 May 2021 | 88-2021 | Conclusion of the Asian Gypsy Moth (AGM) season and AGM vessel inspections | 
| 7 May 2021 | 87-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: reinstatement of Italian treatment provider - A.B.R.A.S. Srl (AEI: IT4001SB) | 
| 4 May 2021 | 86-2021 | Port of Esperance is now a first point of entry for freight containers | 
| 3 May 2021 | 85-2021 | Upcoming changes in nursery stock hosts requiring emergency measures for the bacterial pathogen Xylella | 
| 3 May 2021 | 84-2021 | Methyl bromide treatment provider survey | 
| 28 April 2021 | 83-2021 | Conclusion of the Burnt Pine Longicorn (BPL) flight season and BPL vessel inspections | 
| 27 April 2021 | 82-2021 | Services Restored: Tuesday 27 April 2021 - Department Network | 
| 27 April 2021 | 81-2021 | Unplanned Outage: Tuesday 27 April 2021 - Department Network | 
| 27 April 2021 | 80-2021 | Services Restored: Friday 23 April 2021 – COLS, OPS, PEBS | 
| 23 April 2021 | 79-2021 | Service Disruption: Friday 23 April 2021 – COLS, OPS, PEBS | 
| 23 April 2021 | 78-2021 | Permit application assessment delays | 
| 23 April 2021 | 77-2021 | Services Restored: Friday 23 April 2021 – Department Network | 
| 22 April 2021 | 76-2021 | Changes to the lists of approved countries to export live marine and freshwater ornamental finfish to Australia | 
| 22 April 2021 | 75-2021 | Services Restored: COLS compatibility issues when using newer versions of web browsers | 
| 21 April 2021 | 74-2021 | Service Disruption: From 16:00 to 23:59 Sunday 25 April 2021 (AEST) - BICON | 
| 21 April 2021 | 73-2021 | Scheduled Outage: Saturday 24 to Sunday 25 April 2021 – COLS, MARS, OPS, PEBS, Treatment Certificate Portal | 
| 20 April 2021 | 72-2021 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspension - Fumico Fumigations B.V. (NL4004SB) | 
| 20 April 2021 | 71-2021 | Changes to the application category, charges, validity period and forms for nursey stock import permits | 
| 19 April 2021 | 70-2021 | Scheduled Outage: From 23:00 to 23:59 Wednesday 21 April – COLS, OPS, PEBS | 
| 19 April 2021 | 69-2021 | Scheduled Outage: Thursday 22 to Friday 23 April 2021 – MARS | 
| 16 April 2021 | 68-2021 | Services Restored: Friday 16 April 2021 – COLS, OPS, PEBS | 
| 16 April 2021 | 67-2021 | Urgent Scheduled Outage: Friday 16 April 2021 - COLS, OPS and PEBS | 
| 15 April 2021 | 66-2021 | Service Disruption: Thursday 15 April 2021 - COLS, OPS, PEBS | 
| 12 April 2021 | 65-2021 | Service Disruption: 23:30 Saturday 17 April to 00:30 Sunday 18 April 2021 (AEST) – DAWE messaging | 
| 12 April 2021 | 64-2021 | Services Restored: Monday 12 April 2021 – COLS, MARS, PEBS, BMSB/Treatment Certificate Portal | 
| 12 April 2021 | 63-2021 | Unplanned Outage: Monday 12 April 2021 – COLS, MARS, PEBS, BMSB/Treatment Certificate Portal | 
| 12 April 2021 | 62-2021 | Services Restored: Monday 12 April 2021 – COLS, MARS, PEBS, BMSB/Treatment Certificate Portal | 
| 12 April 2021 | 61-2021 | Sea container measures to protect against khapra beetle | 
| 12 April 2021 | 60-2021 | Unplanned Outage: Monday 12 April 2021 – COLS, MARS, PEBS, BMSB/Treatment Certificate Portal | 
| 9 April 2021 | 59-2021 | Impacts of sea container measures for khapra beetle - Class 19.1: Non-commodity for Containerised Cargo Clearance (NCCC) and Class 19.2 automatic entry processing for commodities (AEPCOMM) | 
| 8 April 2021 | 58-2021 | Service Disruption: Friday 09 April to Wednesday 14 April 2021 – DAWE applications | 
| 8 April 2021 | 57-2021 | Port of Brisbane first point of entry determination amended | 
| 8 April 2021 | 56-2021 | Amendments to Human Health and Coronavirus (COVID-19) questions for the Maritime Arrivals Reporting System (MARS) | 
| 8 April 2021 | 55-2021 | Scheduled Outage: 23:00 to 23:59 Friday 09 April 2021 (AEST) – COLS, MARS, OPP, PEBS | 
| 7 April 2021 | 54-2021 | Dairy for human consumption eligible to be repurposed for stockfeed | 
| 6 April 2021 | 53-2021 | MARS unavailable from 23:00 Thursday 08 April to 01:00 Friday 09 April 2021 (AEST) | 
| 6 April 2021 | 52-2021 | Service Disruption: 20:00 Sunday 11 April to 04:00 Monday 12 April 2021 (AEST) – DAWE messaging | 
| 6 April 2021 | 51-2021 | Sea container measures to protect against khapra beetle | 
| 30 March 2021 | 50-2021 | Commencement of revised import conditions for restricted apiaceous seeds for sowing | 
| 30 March 2021 | 49-2021 | UPDATE – Requirements for importing Foetal Bovine Serum into Australia | 
| 26 March 2021 | 48-2021 | Sea container measures to protect against khapra beetle | 
| 24 March 2021 | 47-2021 | Port of Derby no longer a first point of entry after 15 June 2021 | 
| 23 March 2021 | 46-2021 | The department is implementing community protection questions on tariffs for live plant material for use as nursery stock in the Integrated Cargo System (ICS) | 
| 23 March 2021 | 45-2021 | Eastern Australian wet weather event: impact on biosecurity operations | 
| 22 March 2021 | 44-2021 | Sea container measures to protect against khapra beetle | 
| 22 March 2021 | 43-2021 | Service Disruption: From 16:00 to 23:59 Sunday 28 March 2021 (AEDT) - BICON | 
| 19 March 2021 | 42-2021 | Updates to the Goods Determination to take effect 20 March 2021 | 
| 19 March 2021 | 41-2021 | Urgent Service Disruption: From Saturday 20 to Sunday 21 March 2021 - BICON | 
| 18 March 2021 | 40-2021 | Khapra beetle treatment specific information sessions | 
| 16 March 2021 | 39-2021 | Service Disruption: 23:30 Saturday 20 March to 04:30 Sunday 21 March 2021 (AEDT) – DAWE messaging | 
| 15 March 2021 | 38-2021 | Reminder: Phase 1 of revised import conditions for apiaceous seeds for sowing commencing 30 March 2021 | 
| 15 March 2021 | 37-2021 | Scheduled Outage: 23:30 Friday 19 March to 03:00 Sunday 21 March 2021 (AEDT) – COLS, MARS, OPP, PEBS | 
| 15 March 2021 | 36-2021 | The changes to the importation of retorted goods containing animal material for human consumption have now been implemented | 
| 10 March 2021 | 35-2021 | Updated inspection requirements for rural consignments of new horse floats | 
| 5 March 2021 | 34-2021 | Sea container measures to protect against khapra beetle | 
| 23 February 2021 | 33-2021 | Service Disruption: From 16:00 to 23:59 Sunday 28 February 2021 (AEDT) - BICON | 
| 23 February 2021 | 32-2021 | COLS, MARS and PEBS unavailable, BMSB/Treatment Certificate Portal impacted from 23:30 Saturday 27 February to 08:00 Sunday 28 February 2021 (AEDT) | 
| 23 February 2021 | 31-2021 | Service Disruption: From 22:15 to 22:20 Thursday 25 February 2021 (AEDT) – BICON | 
| 22 February 2021 | 30-2021 | Urgent Scheduled Outage: Monday 22 February 2021 – BICON | 
| 22 February 2021 | 29-2021 | Upcoming changes to on-arrival inspections of bulbs for use as nursery stock | 
| 19 February 2021 | 28-2021 | Service Disruption: 23:30 Saturday 20 February to 03:30 Sunday 21 February 2021 (AEDT) – DAWE messaging | 
| 19 February 2021 | 27-2021 | Cat and Dog imports to Australia – PEQ reservation waiting periods | 
| 18 February 2021 | 26-2021 | Service Disruption: Thursday 18 February 2021 – DAWE network and telephony services | 
| 17 February 2021 | 25-2021 | Heightened African swine fever (ASF) risk in Asia and Pacific Region | 
| 16 February 2021 | 24-2021 | Permits to import cats and dogs to Australia | 
| 15 February 2021 | 23-2021 | BICON unavailable from 23:00 Saturday 20 February to 03:30 Sunday 21 February 2021 (AEDT) | 
| 11 February 2021 | 22-2021 | Notification of Phase 1 of revised import conditions for apiaceous seed for sowing commencing from 30 March 2021 | 
| 10 February 2021 | 21-2021 | Service Disruption: 23:30 Sunday 14 February to 02:30 Monday 15 February 2021 (AEDT) – DAWE messaging | 
| 10 February 2021 | 20-2021 | PEBS unavailable from 23:00 Friday 12 February to 00:00 Saturday 13 February 2021 (AEDT) | 
| 8 February 2021 | 19-2021 | Service Disruption: From 16:00 to 23:59 Sunday 14 February 2021 (AEDT) - BICON | 
| 5 February 2021 | 18-2021 | Service Disruption: As of Monday 1 February 2021 – DAWE contact number | 
| 2 February 2021 | 17-2021 | Further detail on khapra beetle actions for sea containers and associated information sessions | 
| 29 January 2021 | 16-2021 | Continued reduction in cleaned and pre-inspected used vehicles to Australia from the Japan Export Vehicle Inspection Centre (JEVIC) | 
| 29 January 2021 | 15-2021 | Scheduled Outage: Friday 29 January to Wednesday 03 February 20201 – DAWE applications | 
| 29 January 2021 | 14-2021 | Utilising the Entity Identification (AEI) field for used vehicles treated through the Recognised Offshore Cleaning Provider Scheme | 
| 29 January 2021 | 13-2021 | Import Document Assessment Delays | 
| 28 January 2021 | 12-2021 | Services Restored: Thursday 28 January 2021 – SeaPest | 
| 28 January 2021 | 11-2021 | Unplanned Service Disruption: Thursday 28 January 2021 – SeaPest | 
| 25 January 2021 | 10-2021 | Services Restored: Monday 25 January 2021 – BICON | 
| 25 January 2021 | 09-2021 | Unplanned Service Disruption: Monday 25 January 2021 – BICON | 
| 22 January 2021 | 08-2021 | Commencement of 2021 Asian Gypsy Moth (AGM) vessel assessment and seasonal pest inspection measures | 
| 19 January 2021 | 07-2021 | Service Disruption: From 16:00 to 23:59 Sunday 24 January 2021 (AEDT) - BICON | 
| 14 January 2021 | 06-2021 | Services Restored: Thursday 14 January 2021 – Assessment Outcome Delays | 
| 13 January 2021 | 05-2021 | Unplanned Service Disruption: Wednesday 13 January 2021 – Assessment Outcome Delays | 
| 13 January 2021 | 04-2021 | Changes to the importation of retorted goods containing animal material for human consumption | 
| 13 January 2021 | 03-2021 | Mandatory pre-shipment methyl bromide fumigation for fresh leaves and fresh taro exported from Fiji | 
| 13 January 2021 | 02-2021 | Import permit applications for apiaceous vegetable seed species are now for lodgement | 
| 6 January 2021 | 01-2021 | Cat and Dog imports to Australia – PEQ reservation waiting periods |
