Subscribe
![rss feed icon](https://www.agriculture.gov.au/sites/default/files/images/rss-symbol.png) Import Industry Advice Notices RSS Feed
| Import industry advice notices 2024 |  |  | 
| 12 November 2024 | 257-2024 | List of treatment providers: treatment provider suspended - Focus Pest Management Pte Ltd (AEI: SG4006SB) | 
| 11 November 2024 | 256-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended – Cafecontrol (AEI: VN0003MB) | 
| 11 November 2024 | 255-2024 | Scheduled Outage: Thursday 14 November to Friday 15 November 2024 – DAFF applications | 
| 8 November 2024 | 254-2024 | Important Notice: Tuesday 12 November 2024 – myID and Digital ID name changes | 
| 8 November 2024 | 253-2024 | List of approved treatment providers: treatment provider ‘suspended’, Davicontrol HCMC Branch (AEI: VN0018MB) | 
| 8 November 2024 | 252-2024 | Two new fumigants under consideration | 
| 7 November 2024 | 251-2024 | Scheduled Outage: Monday 11 November to Tuesday 12 November 2024 – DAFF applications | 
| 7 November 2024 | 250-2024 | Scheduled Service Disruption: Thursday 07 November 2024 – Biosecurity Portal | 
| 7 November 2024 | 249-2024 | Seeking details of third-party software used for inspection and treatment reporting | 
| 7 November 2024 | 248-2024 | Peak demand period for Import Document Assessment and Inspection activity | 
| 7 November 2024 | 247-2024 | Increase in COLS upload file size limit from 10 MB to 20 MB | 
| 4 November 2024 | 246-2024 | Addition of AUST R human vaccines onto the Compliance-Based Intervention Scheme (CBIS) | 
| 4 November 2024 | 245-2024 | Trial of new community protection profile questions on tariffs 3002.12, 3002.15 and 3822.19 | 
| 1 November 2024 | 244-2024 | Commencement of the 2024-25 Burnt Pine Longicorn (BPL) Flight Season - 1 November 2024 | 
| 31 October 2024 | 243-2024 | Services Restored: Thursday 31 October 2024 – Telephony services (WA regional office) | 
| 31 October 2024 | 242-2024 | Unplanned Outage: Thursday 31 October 2024 – Telephony services (WA regional office) | 
| 30 October 2024 | 241-2024 | Services Restored: Wednesday 30 October 2024 – Biosecurity directions | 
| 30 October 2024 | 240-2024 | Unplanned Service Disruption: Wednesday 30 October 2024 – Biosecurity directions | 
| 30 October 2024 | 239-2024 | List of unregistered treatment providers: Treatment provider unacceptable – Ema Çevre Sağlığı ilacama ve Gida San.Tic.Ltd. Sti. (AEI: TR4013SB) | 
| 28 October 2024 | 238-2024 | Services Restored: Monday 28 October 2024 – External Broker Website | 
| 28 October 2024 | 237-2024 | Scheduled Outage: Wednesday 30 October 2024 – PEBS | 
| 28 October 2024 | 236-2024 | Expanding the Compliance-Based Intervention Scheme (CBIS) onto a document-controlled pathway, commencing with Herbal tea bags | 
| 25 October 2024 | 235-2024 | Australian Fumigation Accreditation Scheme: Reinstatement of treatment provider - CV. Majesty (AEI: ID0102MB) | 
| 25 October 2024 | 234-2024 | List of unregistered treatment providers: Treatment provider unacceptable – Ecolab (Texas) (AEI: US4026SB) | 
| 25 October 2024 | 233-2024 | List of unregistered treatment providers: Treatment provider unacceptable - Logoo Packing Centre Hamburg GmbH (AEI: DE4018SB) | 
| 25 October 2024 | 232-2024 | New identity check process for cats and dogs from the UK travelling to Australia | 
| 24 October 2024 | 231-2024 | Urgent Scheduled Service Disruption: Friday 25 October to Saturday 26 October 2024 – Biosecurity Portal | 
| 24 October 2024 | 230-2024 | List of treatment providers: treatment provider suspended - Efes Group Loj.Ikl.Ilc.Gida Ve Hayv.San.Ti.Ltd.Instanbul Subesi (AEI: TR4040SB). | 
| 24 October 2024 | 229-2024 | Scheme: treatment provider ‘under review’, M/s Bureau Veritas (I) Pvt. Ltd. (AEI: IN0442MB) | 
| 24 October 2024 | 228-2024 | Unplanned Outage: Thursday 24 October 2024 – External Broker Website | 
| 22 October 2024 | 227-2024 | Onshore Biosecurity Measures – Treatment Lodgement and Assessment | 
| 22 October 2024 | 226-2024 | Key dates and information for the 2024-25 Continued Biosecurity Competency period | 
| 21 October 2024 | 225-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - Ceylon Pest Control Co. (Pvt.) Ltd (AEI: LK0010MB). | 
| 21 October 2024 | 224-2024 | Scheduled Service Disruption: Friday 25 October to Sunday 27 October 2024 – BICON, DAFF messaging, SeaPest | 
| 21 October 2024 | 223-2024 | Scheduled Outage: Thursday 24 October 2024 – DAFF applications | 
| 18 October 2024 | 222-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended – Cargo Quarantine Lanka Company (AEI: LK0004MB) | 
| 17 October 2024 | 221-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - Comaco Survey Bureau Colombo (AEI: LK0005MB) | 
| 16 October 2024 | 220-2024 | *Update* Scheduled Outage: Saturday 19 October to Sunday 20 October 2024 – BICON, DAFF messaging, EVE, SeaPest | 
| 14 October 2024 | 219-2024 | Scheduled Outage: Friday 18 October to Saturday 19 October 2024 – BICON, DAFF messaging, EVE, SeaPest | 
| 14 October 2024 | 218-2024 | Scheduled Service Disruption: Saturday 19 October to Sunday 20 October 2024 – DAFF messaging, SeaPest | 
| 10 October 2024 | 217-2024 | Self-Assessed Clearance (SAC) cost recovery charge: Fact sheet publication and trial updates | 
| 4 October 2024 | 216-2024 | Scheduled Service Disruption: Friday 04 October to Saturday 05 October 2024 – Biosecurity Portal | 
| 3 October 2024 | 215-2024 | List of unregistered treatment providers: Treatment provider unacceptable - DDD d o o Koper (AEI: SI4001SB) | 
| 1 October 2024 | 214-2024 | Self-Assessed Clearances (SAC) cost recovery charge commenced 1 October 2024 | 
| 27 September 2024 | 213-2024 | Immediate changes to accepted Turkish testing providers for imported seed for sowing | 
| 26 September 2024 | 212-2024 | Urgent Scheduled Outage: Thursday 26 September to Friday 27 September 2024 – DAFF messaging, BICON | 
| 26 September 2024 | 211-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - PT. Fumindo Mandiri Sejahtera Cabang Surabaya (AEI: ID0169MB) | 
| 24 September 2024 | 210-2024 | Scheduled Service Disruption: Thursday 26 September 2024 – DAFF messaging, SeaPest | 
| 23 September 2024 | 209-2024 | Scheduled Service Disruption: Friday 27 September to Sunday 29 September 2024 – BICON, DAFF messaging, SeaPest | 
| 23 September | 208-2024 | Services Restored: Monday 23 September 2024 – Biosecurity Portal | 
| 23 September | 207-2024 | Unplanned Service Disruption: Monday 23 September 2024 – Biosecurity Portal | 
| 23 September 2024 | 206-2024 | Services Restored: Monday 23 September 2024 – COLS | 
| 23 September 2024 | 205-2024 | Unplanned Service Disruption: Monday 23 September 2024 – COLS | 
| 20 September 2024 | 204-2024 | Import conditions for fresh passionfruit from Vietnam | 
| 17 September 2024 | 203-2024 | Scheduled Outage: Saturday 21 September to Sunday 22 September 2024 – SeaPest | 
| 13 September 2024 | 202-2024 | Self-Assessed Clearances (SAC) cost recovery charge: One charging model for all SAC reporters | 
| 12 September 2024 | 201-2024 | Information sessions for new self-service cargo status reports | 
| 12 September 2024 | 200-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - PT Beckjorindo Paryaweksana Cabang (AEI: ID0062MB) | 
| 9 September 2024 | 199-2024 | Scheduled Service Disruption: Friday 13 September 2024 – DAFF messaging, SeaPest | 
| 9 September 2024 | 198-2024 | Scheduled Outage: Thursday 12 September to Friday 13 September 2024 – COLS, MARS, OPS and PEBS | 
| 9 September 2024 | 197-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended – PT. Multitech Yasa Guna (AEI: ID0036MB) and PT. Anaya Kesuma Sejahtera (AEI: ID0122MB) | 
| 6 September 2024 | 196-2024 | Self-Assessed Clearances (SAC) cost recovery charge: Process and data trial update | 
| 5 September 2024 | 195-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - PT Eka Energi Selaras (AEI: ID0072MB) | 
| 3 September 2024 | 194-2024 | Australian Fumigation Accreditation Scheme: treatment provider suspended - Entom Pest Control and General Services Corp. (AEI: PH0024MB) | 
| 2 September 2024 | 193-2024 | Scheduled Outage: Saturday 07 September 2024 – BICON | 
| 2 September 2024 | 192-2024 | Scheduled Outage: Wednesday 04 September to Thursday 05 September 2024 – COLS, MARS, OPS and PEBS | 
| 2 September 2024 | 191-2024 | Import conditions for fresh table grapes from Japan | 
| 30 August 2024 | 190-2024 | Commencement of the 2024-25 Brown marmorated stink bug (BMSB) Risk Season - 1 September 2024 | 
| 29 August 2024 | 189-2024 | Documentary recommendations for mixed foliage consignments | 
| 27 August 2024 | 188-2024 | *Update* Scheduled Service Disruption: Saturday 31 August to Sunday 01 September 2024 – DAFF messaging, SeaPest | 
| 27 August 2024 | 187-2024 | Industry survey on approved arrangements for container inspection and cleaning | 
| 26 August 2024 | 186-2024 | Scheduled Outage: Friday 30 August to Saturday 31 August 2024 – COLS, MARS, OPS, and PEBS | 
| 26 August 2024 | 185-2024 | Scheduled Service Disruption: Thursday 29 August to Friday 30 August 2024 – DAFF messaging, SeaPest | 
| 23 August 2024 | 184-2024 | Update to the maritime vessel contacts in NSW | 
| 23 August 2024 | 183-2024 | Australian Fumigation Accreditation Scheme: treatment providers suspended | 
| 22 August 2024 | 182-2024 | Notice: Tuesday 20 August 2024 – Biosecurity Portal | 
| 21 August 2024 | 181-2024 | Scheduled Service Disruption: Saturday 31 August to Sunday 01 September 2024 – DAFF messaging, SeaPest | 
| 21 August 2024 | 180-2024 | Have Your Say on regulatory service delivery and stakeholder engagement | 
| 20 August 2024 | 179-2024 | Cessation of the VSPS | 
| 19 August 2024 | 178-2024 | Scheduled Service Disruption: Friday 23 August to Sunday 25 August 2024 – BICON, DAFF messaging, SeaPest | 
| 14 August 2024 | 177-2024 | Import condition changes to ceremonial articles | 
| 12 August 2024 | 176-2024 | *Update* Urgent Scheduled Outage: Monday 12 August to Tuesday 13 August 2024 – PEBS | 
| 7 August 2024 | 175-2024 | Scheduled Outage: Sunday 11 August to Monday 12 August 2024 – PEBS | 
| 7 August 2024 | 174-2024 | Methyl bromide fumigation methodology – Prepare now for 2025 update | 
| 6 August 2024 | 173-2024 | Expansion of the highly compliant importer (HCI) scheme | 
| 6 August 2024 | 172-2024 | Action required: Self-Assessed Clearances (SAC) cost recovery charge | 
| 5 August 2024 | 171-2024 | Biosecurity Operations Division (BOD) - Cargo Operations-Assessment – Expected behaviour when interacting with the department | 
| 5 August 2024 | 170-2024 | Services Restored: Monday 05 August 2024 – Biosecurity Portal | 
| 2 August 2024 | 169-2024 | 2024-2025 BMSB risk season virtual information sessions for pre-border treatment providers | 
| 2 August 2024 | 168-2024 | Services Restored: Friday 02 August 2024 – Biosecurity Portal | 
| 1 August 2024 | 167-2024 | Unplanned Outage: Thursday 01 August 2024 – Biosecurity Portal | 
| 1 August 2024 | 166-2024 | Addition of China and Republic of Korea as BMSB target risk countries for heightened vessel surveillance only | 
| 31 July 2024 | 165-2024 | 2024-25 Brown marmorated stink bug (BMSB) season industry information sessions | 
| 30 July 2024 | 164-2024 | Scheduled Service Disruption: Saturday 03 August to Sunday 04 August 2024 – DAFF messaging | 
| 30 July 2024 | 163-2024 | Scheduled Outage: Saturday 03 August to Sunday 04 August 2024 – BICON | 
| 29 July 2024 | 162-2024 | Services Restored: Saturday 27 July 2024 – Biosecurity Portal | 
| 24 July 2024 | 161-2024 | Scheduled Service Disruption: Friday 26 July to Sunday 28 July 2024 – BICON, DAFF messaging, SeaPest | 
| 22 July 2024 | 160-2024 | Scheduled Outage: Friday 26 July to Saturday 27 July 2024 – Biosecurity Portal | 
| 20 July 2024 | 159-2024 | CrowdStrike Technical Issue and Outage | 
| 19 July 2024 | 158-2024 | *Update* Unplanned Service Disruption: Friday 19 July 2024 – Biosecurity Portal | 
| 18 July 2024 | 157-2024 | *Cancelled* Scheduled Outage: Friday 19 July to Saturday 20 July 2024 – Biosecurity Portal | 
| 18 July 2024 | 156-2024 | Urgent Scheduled Outage: Thursday 18 July 2024 – DAFF messaging, SeaPest | 
| 18 July 2024 | 155-2024 | Services Restored: Thursday 18 July 2024 – PEBS | 
| 18 July 2024 | 154-2024 | Update to the process for importing non-standard dehydrated and pre-sterilised microbiological media | 
| 17 July 2024 | 153-2024 | Unplanned Service Disruption: Wednesday 17 July 2024 – PEBS | 
| 16 July 2024 | 152-2024 | Urgent Scheduled Outage: Tuesday 16 July – Wednesday 17 July 2024 –BICON, DAFF messaging, MARS, SeaPest | 
| 16 July 2024 | 151-2024 | Scheduled Outage: Friday 19 July to Saturday 20 July 2024 – Biosecurity Portal | 
| 11 July 2024 | 150-2024 | *Cancelled* Scheduled Outage: Thursday 11 July 2024 – Biosecurity Portal | 
| 9 July 2024 | 149-2024 | Scheduled Outage: Thursday 11 July 2024 – Biosecurity Portal | 
| 5 July 2024 | 148-2024 | Unplanned Service Disruption: Friday 05 July 2024 – Biosecurity Portal | 
| 5 July 2024 | 147-2024 | Biosecurity Portal – Location Question for Imported Food or CCV requests | 
| 5 July 2024 | 146-2024 | Biosecurity Portal – Update Location Opening Hours | 
| 3 July 2024 | 145-2024 | Unplanned Service Disruption: Monday 01 July 2024 – Biosecurity Portal | 
| 2 July 2024 | 144-2024 | Services Restored: Monday 01 July 2024 – Biosecurity Portal & RAM | 
| 1 July 2024 | 143-2024 | Unplanned Service Disruption: Monday 01 July – Biosecurity Portal & RAM | 
| 1 July 2024 | 142-2024 | AusTreat – Announcing the launch of our new pre-border biosecurity treatment provider assurance scheme | 
| 1 July 2024 | 141-2024 | Update to BICON case and importer declaration template for khapra beetle sea container measures | 
| 28 June 2024 | 140-2024 | Billing for imported cargo documentation for assessment through COLS | 
| 28 June 2024 | 139-2024 | 2024-25 prices for biosecurity and imported food regulatory activities | 
| 27 June 2024 | 138-2024 | Services Restored: Thursday 27 June 2024 – BICON | 
| 27 June 2024 | 137-2024 | Changes to the Biosecurity Portal digital identity (myID) landing page | 
| 26 June 2024 | 136-2024 | Approved arrangement class 19 access to eCertificates via EVE | 
| 26 June 2024 | 135-2024 | Unplanned Service Disruption: Tuesday 25 June 2024 – Biosecurity Portal | 
| 26 June 2024 | 134-2024 | New requirement for ISTA certification in relation to sampling 25,000kg seed lots of Poaceae seeds | 
| 24 June 2024 | 133-2024 | Scheduled Outage: Sunday 30 June to Monday 01 July 2024 – BICON impacted, COLS, OPS, MARS and PEBS unavailable | 
| 21 June 2024 | 132-2024 | Import conditions for fresh tomatoes from New Zealand | 
| 20 June 2024 | 131-2024 | Expansion of the approved arrangement class 19.2 automatic entry processing for commodities (AEPCOMM) | 
| 20 June 2024 | 130-2024 | Upcoming change to live ornamental fish import inspections | 
| 19 June 2024 | 129-2024 | Services Restored: Wednesday 19 June 2024 – Biosecurity Portal | 
| 17 June 2024 | 128-2024 | Scheduled Service Disruption: Sunday 23 June 2024 – BICON | 
| 17 June 2024 | 127-2024 | Onshore intervention for non-compliant offshore Brown Marmorated Stink Bug (BMSB) treated consignments | 
| 14 June 2024 | 126-2024 | Unplanned Service Disruption: Wednesday 12 June 2024 – Biosecurity Portal | 
| 13 June 2024 | 125-2024 | Scheduled Outage: Wednesday 19 June to Thursday 20 June 2024 – DAFF applications | 
| 13 June 2024 | 124-2024 | AusTreat Virtual Information Sessions | 
| 13 June 2024 | 123-2024 | Services Restored: Thursday 13 June 2024 – BICON | 
| 13 June 2024 | 122-2024 | Scheduled Outage: Sunday 16 June 2024 – MARS and PEBS | 
| 12 June 2024 | 121-2024 | Onshore clearance of foreign force military equipment imported for Combined Military Activity Pitch Black 2024 | 
| 12 June 2024 | 120-2024 | Proposed Changes to Import Conditions for New and Aged/Used Oversize Tyres | 
| 11 June 2024 | 119-2024 | June Update: Self-Assessed Clearances (SAC) cost recovery charge | 
| 11 June 2024 | 118-2024 | Scheduled Outage: Friday 14 June to Saturday 15 June 2024 – COLS, MARS, OPS, and PEBS | 
| 11 June 2024 | 117-2024 | Scheduled Outage: Wednesday 12 June to Thursday 13 June 2024– COLS, MARS, OPS and PEBS | 
| 11 June 2024 | 116-2024 | Services Restored: Monday 10 June 2024 – Biosecurity Portal | 
| 7 June 2024 | 115-2024 | Services Restored: Thursday 06 June 2024 – Network (email services) | 
| 5 June 2024 | 114-2024 | Services Restored: Wednesday 05 June 2024 – Biosecurity Portal | 
| 5 June 2024 | 113-2024 | Unplanned Service Disruption: Wednesday 05 June 2024 – Biosecurity Portal | 
| 3 June 2024 | 112-2024 | Adjustment of heightened border measures introduced in 2022 in response to the foot and mouth disease (FMD) outbreak in Indonesia | 
| 31 May 2024 | 111-2024 | Scheduled Outage: Tuesday 04 June 2024 – COLS, OPS, PEBS | 
| 31 May 2024 | 110-2024 | Changes to the Biosecurity Portal Home Page | 
| 31 May 2024 | 109-2024 | Scheduled Outage: Tuesday 04 June to Wednesday 05 June 2024 – Biosecurity Portal & SeaPest | 
| 31 May 2024 | 108-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment providers suspended - Yukselis Liman Hizmetleri ve Ilaclama Ambalaj San. Tic. Ltd. Sti (AEI: TR4021SB) and Dinamik Cevre Sagligi Hizmetleri (AEI: TR4022SB) | 
| 31 May 2024 | 107-2024 | Approved Arrangements Management Product (AAMP) is coming | 
| 30 May 2024 | 106-2024 | Variation to approved arrangement class 19 in relation to rural tailgate inspections and External Verification for eCertificates (EVE) system | 
| 24 May 2024 | 105-2024 | Scheduled Outage: Thursday 30 May 2024 – DAFF applications | 
| 23 May 2024 | 104-2024 | Services Restored: Wednesday 22 May 2024 – BICON | 
| 22 May 2024 | 103-2024 | Unplanned Service Disruption: Wednesday 22 May 2024 – BICON | 
| 22 May 2024 | 102-2024 | Services Restored: Wednesday 22 May 2024 – DAFF messaging | 
| 21 May 2024 | 101-2024 | Services Restored: Tuesday 21 May 2024 – BICON | 
| 21 May 2024 | 100-2024 | *Update* Scheduled Outage: Wednesday 22 May 2024 – PEBS | 
| 20 May 2024 | 99-2024 | Update and advice for airlines and aircraft operators on the responsibility of procuring aerosol disinsection treatments for use in international aircraft cabins and aircraft holds on arrival. | 
| 20 May 2024 | 98-2024 | Scheduled Service Disruption: Sunday 26 May 2024 – BICON | 
| 17 May 2024 | 97-2024 | Scheduled Outage: Tuesday 21 May 2024 – PEBS | 
| 17 May 2024 | 96-2024 | Urgent Scheduled Outage: Saturday 18 May 2024 – DAFF messaging | 
| 17 May 2024 | 95-2024 | Scheduled Outage: Monday 20 May to Tuesday 21 May 2024 – DAFF applications | 
| 16 May 2024 | 94-2024 | AusTreat – A new pre-border biosecurity treatment provider assurance scheme | 
| 15 May 2024 | 93-2024 | Raw nuts, dried mushrooms and truffles: recognising and rewarding good compliance and improving uptake on the Compliance-Based Intervention Scheme (CBIS) | 
| 15 May 2024 | 92-2024 | Scheduled Outage: Tuesday 21 May to Wednesday 22 May 2024 - COLS, MARS, OPS, PEBS | 
| 15 May 2024 | 91-2024 | Services Restored: 14 May 2024 – BICON | 
| 14 May 2024 | 90-2024 | Scheduled Outage: Saturday 18 May to Sunday 19 May 2024 – DAFF applications | 
| 13 May 2024 | 89-2024 | Scheduled Outages: Wednesday 15 May to Thursday 16 May and Tuesday 21 May to Wednesday 22 May 2024 – MARS | 
| 13 May 2024 | 88-2024 | Services Restored: Friday 10 May 2024 – Biosecurity directions | 
| 10 May 2024 | 87-2024 | Unplanned Service Disruption: Friday 10 May 2024 – Biosecurity directions | 
| 8 May 2024 | 86-2024 | Deregulation of Plantago asiatica mosaic virus as a quarantine pest | 
| 8 May 2024 | 85 -2024 | Changes to approved arrangements class 19 in relation to rural tailgate inspections and External Verification for eCertificates (EVE) system | 
| 7 May 2024 | 84-2024 | T1 Livestock Transfer Facility at Sydney Kingsford Smith Airport is now a biosecurity entry point for live horses | 
| 6 May 2024 | 83-2024 | Importing Seafood and Fish into Mainland Australia, from Christmas Island and Cocos (Keeling) Island | 
| 3 May 2024 | 82-2024 | Scheduled Outage: Monday 06 May to Tuesday 07 May 2024 – Network (email services) | 
| 1 May 2024 | 81-2024 | Conclusion of the 2023-24 Brown marmorated stink bug (BMSB) Risk Season | 
| 1 May 2024 | 80-2024 | Scheduled Outage: Saturday 04 May to Sunday 05 May 2024 – DAFF applications | 
| 30 April 2024 | 79-2024 | Services Restored: Tuesday 30 April 2024 – Invoice/Receipt Issuance for COLS, MARS, PEBS and PEMS | 
| 30 April 2024 | 78-2024 | Update: Self-Assessed Clearances (SAC) cost recovery charge | 
| 29 April 2024 | 77-2024 | Upcoming enhancements to the Compliance-Based Intervention Scheme (CBIS): herbal tea bags, raw nuts, dried coconut products (excluding desiccated), powdered herbs and spices, fresh and dried mushrooms and truffles from all countries | 
| 24 April 2024 | 76-2024 | Services Restored: Wednesday 24 April 2024 – Biosecurity Portal & RAM | 
| 24 April 2024 | 75-2024 | Unplanned Outage: Wednesday 24 April – Biosecurity Portal & RAM | 
| 22 April 2024 | 74-2024 | Scheduled Outage: Monday 29 April 2024 - PEBS | 
| 22 April 2024 | 73-2024 | Consultation for revised class conditions for import approved arrangement class 1.1 Sea and Air Freight Depot (unrestricted) and class 1.3 Sea and Air Freight Depot (restricted) | 
| 22 April 2024 | 72-2024 | Scheduled Service Disruption: Sunday 28 April 2024 – BICON | 
| 22 April 2024 | 71-2024 | Scheduled Outage: Wednesday 24 April 2024 – Biosecurity Portal | 
| 19 April 2024 | 70-2024 | Notice of the department’s assessment of an application to import live attenuated Salmonella vaccines | 
